CATEGORY,SUBCAT_GRP,SUBCATEGORY,ITEM_NAME,VENDOR_NAME,Brand,Yesterday_Sales_ThisYear,Yesterday_Sales_LastYear,WeekToDate_Sales_ThisYear,WeekToDate_Sales_LastYear,LastWeek_Sales_ThisYear,LastWeek_Sales_LastYear,MonthToDate_Sales_ThisYear,MonthToDate_Sales_LastYear,YearToDate_Sales_ThisYear,YearToDate_Sales_LastYear,Yesterday_Units_ThisYear,Yesterday_Units_LastYear,WeekToDate_Units_ThisYear,WeekToDate_Units_LastYear,LastWeek_Units_ThisYear,LastWeek_Units_LastYear,MonthToDate_Units_ThisYear,MonthToDate_Units_LastYear,YearToDate_Units_ThisYear,YearToDate_Units_LastYear
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item1,Supplier508,Private,"$24,818 ","$30,636 ","$1,044,013 ","$998,877 ","$103,686 ","$108,163 ","$2,453,268 ","$2,165,495 ","$11,730,586 ","$9,897,464 ", 828 ," 1,231 "," 34,817 "," 40,143 "," 3,576 "," 4,348 "," 85,208 "," 87,022 "," 402,063 "," 397,496 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item2,Supplier410,National,"$95,579 ","$69,911 ","$781,038 ","$450,049 ","$177,679 ","$205,034 ","$2,229,411 ","$1,925,906 ","$4,015,023 ","$3,551,477 "," 2,531 "," 1,748 "," 20,901 "," 11,259 "," 4,340 "," 5,130 "," 56,265 "," 48,185 "," 107,888 "," 98,855 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item3,Supplier196,National,"$14,252 ","$14,974 ","$886,036 ","$737,092 ","$650,074 ","$721,363 ","$773,975 ","$724,320 ","$2,458,423 ","$2,367,260 ", 361 , 405 ," 22,440 "," 19,950 "," 16,464 "," 19,525 "," 19,603 "," 19,606 "," 62,263 "," 66,163 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item4,Supplier426,National,"$91,517 ","$85,862 ","$148,570 ","$122,628 ","$754,152 ","$1,041,847 ","$607,289 ","$720,291 ","$7,589,960 ","$9,318,115 "," 2,289 "," 2,143 "," 3,716 "," 3,070 "," 18,864 "," 28,102 "," 15,197 "," 19,965 "," 188,387 "," 251,517 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item5,Supplier508,Private,"$4,559 ","$4,199 ","$484,586 ","$355,222 ","$131,865 ","$130,266 ","$1,262,875 ","$1,094,563 ","$2,237,345 ","$2,000,964 ", 152 , 141 ," 16,164 "," 11,890 "," 4,399 "," 4,362 "," 42,124 "," 36,651 "," 74,627 "," 75,076 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item6,Supplier426,National,"$46,281 ","$47,999 ","$215,902 ","$183,884 ","$500,254 ","$649,183 ","$1,269,790 ","$1,471,009 ","$6,253,288 ","$7,224,037 "," 1,089 "," 1,140 "," 5,083 "," 4,370 "," 11,778 "," 16,528 "," 29,928 "," 38,523 "," 145,960 "," 184,198 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item7,Supplier508,Private,"$50,768 ","$45,978 ","$116,805 ","$91,575 ","$416,347 ","$451,914 ","$155,765 ","$144,879 ","$6,459,207 ","$5,877,757 "," 1,693 "," 1,538 "," 3,895 "," 3,063 "," 13,886 "," 15,122 "," 5,195 "," 4,848 "," 215,369 "," 219,482 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item8,Supplier410,National,"$51,314 ","$65,618 ","$449,975 ","$444,865 ","$470,052 ","$602,189 ","$669,934 ","$725,356 ","$1,474,026 ","$1,436,510 "," 1,223 "," 1,641 "," 10,721 "," 11,130 "," 11,194 "," 15,066 "," 15,957 "," 18,147 "," 38,829 "," 39,776 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item9,Supplier196,National,"$28,326 ","$34,695 ","$307,658 ","$288,947 ","$90,695 ","$124,389 ","$1,110,203 ","$1,265,308 ","$3,827,737 ","$4,425,666 ", 781 ," 1,049 "," 8,480 "," 8,738 "," 2,500 "," 4,063 "," 30,604 "," 40,911 "," 105,554 "," 146,591 "
C41 COFFEE - BREAKFAST,CAT 41 SCG COFFEE AND ADDITIVE,C41S77 K CUPS,Item10,Supplier508,Private,"$4,587 ","$3,815 ","$222,974 ","$143,650 ","$278,421 ","$274,070 ","$140,495 ","$113,424 ","$2,553,941 ","$2,144,772 ", 153 , 128 ," 7,438 "," 4,809 "," 9,287 "," 9,174 "," 4,686 "," 3,797 "," 85,198 "," 80,605 "
